feedback_id,customer_id,rating,review_text,sentiment_score,feedback_date,created_at
61,96,4,Excellent quality and fast shipping.,0.82,2023-05-20,2026-02-12 12:59:22
62,99,3,It's okay. Average product.,0.18,2024-11-11,2026-02-12 12:59:22
63,99,4,Very satisfied with my purchase.,0.82,2024-11-20,2026-02-12 12:59:22
64,102,3,It's okay. Average product.,0.03,2024-10-31,2026-02-12 12:59:22
65,102,3,It's okay. Average product.,-0.08,2024-06-08,2026-02-12 12:59:22
66,103,5,Amazing! Will buy again.,0.59,2023-05-22,2026-02-12 12:59:22
67,104,4,Excellent quality and fast shipping.,0.95,2023-01-08,2026-02-12 12:59:22
68,104,4,Amazing! Will buy again.,0.88,2024-07-25,2026-02-12 12:59:22
69,104,4,Perfect! Exceeded expectations.,0.62,2023-09-05,2026-02-12 12:59:22
70,106,4,Very satisfied with my purchase.,0.57,2024-12-25,2026-02-12 12:59:22
71,106,2,Poor quality. Would not recommend.,-0.51,2024-04-12,2026-02-12 12:59:22
72,106,5,Amazing! Will buy again.,0.65,2024-01-11,2026-02-12 12:59:22
73,107,4,Great product! Highly recommend.,0.54,2024-03-02,2026-02-12 12:59:22
74,108,3,It's okay. Average product.,0.09,2024-12-20,2026-02-12 12:59:22
75,108,4,Amazing! Will buy again.,0.69,2024-11-23,2026-02-12 12:59:22
76,108,4,Amazing! Will buy again.,0.59,2024-12-22,2026-02-12 12:59:22
77,111,3,It's okay. Average product.,-0.04,2024-03-03,2026-02-12 12:59:22
78,111,4,Very satisfied with my purchase.,0.71,2022-06-04,2026-02-12 12:59:22
79,113,4,Amazing! Will buy again.,0.6,2024-03-22,2026-02-12 12:59:22
80,113,5,Excellent quality and fast shipping.,0.74,2024-02-25,2026-02-12 12:59:22
81,115,4,Amazing! Will buy again.,0.51,2024-10-23,2026-02-12 12:59:22
82,115,4,Amazing! Will buy again.,0.98,2024-08-24,2026-02-12 12:59:22
83,119,5,Amazing! Will buy again.,0.59,2023-10-12,2026-02-12 12:59:22
84,125,4,Amazing! Will buy again.,0.98,2023-10-12,2026-02-12 12:59:22
85,126,5,Perfect! Exceeded expectations.,0.55,2024-05-04,2026-02-12 12:59:22
86,127,2,Took too long to arrive.,-0.81,2023-01-30,2026-02-12 12:59:22
87,130,5,Excellent quality and fast shipping.,0.85,2024-12-13,2026-02-12 12:59:22
88,130,4,Amazing! Will buy again.,0.78,2024-11-04,2026-02-12 12:59:22
89,130,4,Very satisfied with my purchase.,0.94,2024-11-16,2026-02-12 12:59:22
90,131,1,Took too long to arrive.,-0.5,2023-11-15,2026-02-12 12:59:22
91,131,4,Amazing! Will buy again.,0.54,2024-07-03,2026-02-12 12:59:22
92,133,1,Had to return it.,-0.67,2022-04-30,2026-02-12 12:59:22
93,135,5,Excellent quality and fast shipping.,0.69,2023-07-29,2026-02-12 12:59:22
94,136,3,It's okay. Average product.,0.1,2023-11-05,2026-02-12 12:59:22
95,136,5,Perfect! Exceeded expectations.,0.55,2023-11-12,2026-02-12 12:59:22
96,140,4,Excellent quality and fast shipping.,0.68,2023-12-15,2026-02-12 12:59:22
97,140,2,Had to return it.,-0.75,2024-10-23,2026-02-12 12:59:22
98,140,2,Took too long to arrive.,-0.7,2023-11-18,2026-02-12 12:59:22
99,141,5,Very satisfied with my purchase.,0.97,2024-04-24,2026-02-12 12:59:22
100,141,4,Great product! Highly recommend.,0.59,2024-07-02,2026-02-12 12:59:22
101,145,3,It's okay. Average product.,-0.18,2023-04-22,2026-02-12 12:59:22
102,145,3,It's okay. Average product.,-0.15,2024-09-25,2026-02-12 12:59:22
103,145,5,Excellent quality and fast shipping.,0.88,2024-08-11,2026-02-12 12:59:22
104,146,3,It's okay. Average product.,0.1,2022-11-14,2026-02-12 12:59:22
105,154,5,Perfect! Exceeded expectations.,0.81,2024-11-26,2026-02-12 12:59:22
106,154,5,Amazing! Will buy again.,0.96,2024-10-19,2026-02-12 12:59:22
107,159,5,Perfect! Exceeded expectations.,0.67,2024-08-19,2026-02-12 12:59:22
108,160,5,Very satisfied with my purchase.,0.74,2024-01-17,2026-02-12 12:59:22
109,160,3,It's okay. Average product.,-0.16,2024-02-15,2026-02-12 12:59:22
110,166,4,Excellent quality and fast shipping.,0.65,2024-07-07,2026-02-12 12:59:22
111,166,4,Excellent quality and fast shipping.,0.86,2022-10-13,2026-02-12 12:59:22
112,174,3,It's okay. Average product.,-0.09,2024-10-30,2026-02-12 12:59:22
113,174,2,Took too long to arrive.,-0.38,2024-09-22,2026-02-12 12:59:22
114,179,2,Not as described. Disappointed.,-0.92,2024-11-30,2026-02-12 12:59:22
115,182,5,Great product! Highly recommend.,0.85,2024-11-22,2026-02-12 12:59:22
116,183,4,Great product! Highly recommend.,0.86,2023-07-19,2026-02-12 12:59:22
117,183,5,Excellent quality and fast shipping.,0.81,2023-10-19,2026-02-12 12:59:22
118,183,3,It's okay. Average product.,0.18,2022-07-19,2026-02-12 12:59:22
119,194,2,Poor quality. Would not recommend.,-0.9,2023-09-25,2026-02-12 12:59:22
120,207,3,It's okay. Average product.,-0.17,2023-12-28,2026-02-12 12:59:22
121,207,4,Very satisfied with my purchase.,0.77,2024-05-15,2026-02-12 12:59:22
122,207,4,Great product! Highly recommend.,0.91,2023-10-20,2026-02-12 12:59:22
123,208,4,Great product! Highly recommend.,0.6,2024-12-25,2026-02-12 12:59:22
124,211,2,Had to return it.,-0.46,2024-08-05,2026-02-12 12:59:22
125,211,4,Perfect! Exceeded expectations.,0.57,2024-10-04,2026-02-12 12:59:22
126,211,2,Not as described. Disappointed.,-0.5,2024-07-24,2026-02-12 12:59:22
127,212,5,Great product! Highly recommend.,0.67,2024-08-12,2026-02-12 12:59:22
128,212,1,Not as described. Disappointed.,-0.54,2024-03-03,2026-02-12 12:59:22
129,217,4,Very satisfied with my purchase.,0.88,2023-09-17,2026-02-12 12:59:22
130,219,3,It's okay. Average product.,0.0,2022-03-26,2026-02-12 12:59:22
131,219,1,Had to return it.,-0.67,2022-12-19,2026-02-12 12:59:22
132,219,5,Amazing! Will buy again.,0.65,2024-04-04,2026-02-12 12:59:22
133,223,4,Great product! Highly recommend.,0.94,2024-12-28,2026-02-12 12:59:22
134,223,4,Amazing! Will buy again.,0.54,2024-08-13,2026-02-12 12:59:22
135,225,2,Took too long to arrive.,-0.88,2024-08-08,2026-02-12 12:59:22
136,225,4,Excellent quality and fast shipping.,0.7,2022-08-17,2026-02-12 12:59:22
137,232,5,Great product! Highly recommend.,0.94,2024-07-31,2026-02-12 12:59:22
138,232,3,It's okay. Average product.,-0.04,2024-01-01,2026-02-12 12:59:22
139,232,4,Amazing! Will buy again.,0.77,2023-01-16,2026-02-12 12:59:22
140,235,2,Took too long to arrive.,-0.85,2024-01-03,2026-02-12 12:59:22
141,235,3,It's okay. Average product.,0.01,2023-07-03,2026-02-12 12:59:22
142,239,5,Excellent quality and fast shipping.,0.74,2024-02-25,2026-02-12 12:59:22
143,239,4,Amazing! Will buy again.,0.63,2022-10-09,2026-02-12 12:59:22
144,239,5,Very satisfied with my purchase.,0.91,2023-01-31,2026-02-12 12:59:22
145,253,4,Perfect! Exceeded expectations.,0.93,2024-11-29,2026-02-12 12:59:22
146,258,2,Took too long to arrive.,-0.49,2023-05-15,2026-02-12 12:59:22
147,265,3,It's okay. Average product.,0.0,2024-09-03,2026-02-12 12:59:22
148,265,3,It's okay. Average product.,0.1,2024-04-27,2026-02-12 12:59:22
149,266,4,Excellent quality and fast shipping.,0.63,2024-05-02,2026-02-12 12:59:22
150,266,2,Not as described. Disappointed.,-0.81,2024-07-21,2026-02-12 12:59:22
151,266,5,Perfect! Exceeded expectations.,0.81,2024-02-03,2026-02-12 12:59:22
152,271,3,It's okay. Average product.,-0.17,2024-04-16,2026-02-12 12:59:22
153,271,5,Excellent quality and fast shipping.,0.52,2024-05-05,2026-02-12 12:59:22
154,276,3,It's okay. Average product.,-0.12,2024-11-07,2026-02-12 12:59:22
155,276,5,Excellent quality and fast shipping.,0.76,2023-06-15,2026-02-12 12:59:22
156,278,3,It's okay. Average product.,-0.08,2023-11-03,2026-02-12 12:59:22
157,281,4,Very satisfied with my purchase.,0.55,2024-04-22,2026-02-12 12:59:22
158,281,5,Amazing! Will buy again.,0.95,2023-09-02,2026-02-12 12:59:22
159,281,4,Perfect! Exceeded expectations.,0.8,2023-07-26,2026-02-12 12:59:22
160,282,2,Took too long to arrive.,-0.89,2024-04-29,2026-02-12 12:59:22
161,282,4,Amazing! Will buy again.,0.54,2023-08-23,2026-02-12 12:59:22
162,282,3,It's okay. Average product.,0.11,2023-12-16,2026-02-12 12:59:22
163,283,2,Took too long to arrive.,-0.97,2022-07-08,2026-02-12 12:59:22
164,292,4,Great product! Highly recommend.,0.85,2024-12-21,2026-02-12 12:59:22
165,292,4,Amazing! Will buy again.,0.9,2024-12-11,2026-02-12 12:59:22
166,293,5,Excellent quality and fast shipping.,0.83,2023-07-10,2026-02-12 12:59:22
167,293,5,Very satisfied with my purchase.,0.71,2022-12-06,2026-02-12 12:59:22
168,293,4,Very satisfied with my purchase.,0.78,2022-12-15,2026-02-12 12:59:22
169,295,3,It's okay. Average product.,0.18,2024-10-18,2026-02-12 12:59:22
170,298,2,Not as described. Disappointed.,-0.48,2024-12-16,2026-02-12 12:59:22
171,298,2,Poor quality. Would not recommend.,-0.32,2024-11-03,2026-02-12 12:59:22
172,302,1,Not worth the price.,-0.94,2024-12-30,2026-02-12 12:59:22
173,304,2,Had to return it.,-0.46,2024-02-29,2026-02-12 12:59:22
174,304,5,Amazing! Will buy again.,0.86,2022-12-27,2026-02-12 12:59:22
175,304,5,Perfect! Exceeded expectations.,0.56,2023-08-16,2026-02-12 12:59:22
176,306,4,Excellent quality and fast shipping.,0.57,2022-12-25,2026-02-12 12:59:22
177,307,4,Excellent quality and fast shipping.,0.69,2024-04-30,2026-02-12 12:59:22
178,307,5,Amazing! Will buy again.,0.63,2023-03-25,2026-02-12 12:59:22
179,310,5,Excellent quality and fast shipping.,0.62,2024-07-22,2026-02-12 12:59:22
180,310,5,Very satisfied with my purchase.,0.5,2022-12-08,2026-02-12 12:59:22
181,310,4,Amazing! Will buy again.,0.73,2022-07-11,2026-02-12 12:59:22
182,313,4,Excellent quality and fast shipping.,0.74,2024-12-04,2026-02-12 12:59:22
183,313,3,It's okay. Average product.,0.03,2024-11-27,2026-02-12 12:59:22
184,313,4,Perfect! Exceeded expectations.,0.81,2024-12-08,2026-02-12 12:59:22
185,324,4,Great product! Highly recommend.,0.83,2023-01-18,2026-02-12 12:59:22
186,324,5,Amazing! Will buy again.,0.79,2022-11-29,2026-02-12 12:59:22
187,324,4,Excellent quality and fast shipping.,0.68,2022-11-15,2026-02-12 12:59:22
188,328,5,Very satisfied with my purchase.,0.61,2023-11-22,2026-02-12 12:59:22
189,329,5,Perfect! Exceeded expectations.,0.55,2024-11-09,2026-02-12 12:59:22
190,329,4,Great product! Highly recommend.,0.91,2024-08-05,2026-02-12 12:59:22
191,330,2,Poor quality. Would not recommend.,-0.99,2024-08-19,2026-02-12 12:59:22
192,330,5,Great product! Highly recommend.,0.67,2023-12-02,2026-02-12 12:59:22
193,330,5,Very satisfied with my purchase.,0.66,2023-08-30,2026-02-12 12:59:22
194,336,5,Amazing! Will buy again.,0.7,2024-05-27,2026-02-12 12:59:22
195,336,3,It's okay. Average product.,-0.18,2023-08-29,2026-02-12 12:59:22
196,336,4,Amazing! Will buy again.,0.89,2023-10-07,2026-02-12 12:59:22
197,337,4,Very satisfied with my purchase.,1.0,2023-03-12,2026-02-12 12:59:22
198,337,3,It's okay. Average product.,-0.05,2023-06-22,2026-02-12 12:59:22
199,337,2,Not worth the price.,-0.76,2024-03-10,2026-02-12 12:59:22
200,341,5,Great product! Highly recommend.,0.82,2024-10-12,2026-02-12 12:59:22
201,341,5,Amazing! Will buy again.,0.53,2024-11-09,2026-02-12 12:59:22
202,341,1,Had to return it.,-0.91,2024-10-25,2026-02-12 12:59:22
203,342,3,It's okay. Average product.,0.15,2024-12-01,2026-02-12 12:59:22
204,342,3,It's okay. Average product.,-0.15,2024-08-16,2026-02-12 12:59:22
205,342,4,Very satisfied with my purchase.,0.99,2024-11-04,2026-02-12 12:59:22
206,344,4,Perfect! Exceeded expectations.,0.93,2024-12-25,2026-02-12 12:59:22
207,344,2,Took too long to arrive.,-0.45,2024-11-17,2026-02-12 12:59:22
208,346,5,Very satisfied with my purchase.,0.58,2024-11-08,2026-02-12 12:59:22
209,346,3,It's okay. Average product.,-0.17,2024-08-22,2026-02-12 12:59:22
210,347,3,It's okay. Average product.,0.01,2023-08-20,2026-02-12 12:59:22
211,347,5,Great product! Highly recommend.,0.83,2023-12-22,2026-02-12 12:59:22
212,347,5,Great product! Highly recommend.,0.68,2023-06-26,2026-02-12 12:59:22
213,350,4,Amazing! Will buy again.,0.76,2024-12-16,2026-02-12 12:59:22
214,352,5,Great product! Highly recommend.,0.57,2024-12-09,2026-02-12 12:59:22
215,352,2,Took too long to arrive.,-0.66,2024-11-04,2026-02-12 12:59:22
216,352,5,Excellent quality and fast shipping.,0.74,2024-11-13,2026-02-12 12:59:22
217,367,5,Perfect! Exceeded expectations.,0.7,2024-04-07,2026-02-12 12:59:22
218,367,2,Not worth the price.,-0.77,2024-09-16,2026-02-12 12:59:22
219,368,3,It's okay. Average product.,-0.16,2024-11-30,2026-02-12 12:59:22
220,368,5,Perfect! Exceeded expectations.,0.82,2024-09-15,2026-02-12 12:59:22
221,371,2,Took too long to arrive.,-0.52,2024-06-15,2026-02-12 12:59:22
222,371,1,Not worth the price.,-0.87,2023-11-25,2026-02-12 12:59:22
223,373,1,Not worth the price.,-0.54,2024-11-13,2026-02-12 12:59:22
224,373,4,Very satisfied with my purchase.,0.89,2024-03-24,2026-02-12 12:59:22
225,374,3,It's okay. Average product.,0.12,2024-12-20,2026-02-12 12:59:22
226,374,4,Excellent quality and fast shipping.,0.5,2024-08-14,2026-02-12 12:59:22
227,375,5,Perfect! Exceeded expectations.,0.51,2023-10-16,2026-02-12 12:59:22
228,375,4,Very satisfied with my purchase.,0.62,2024-12-21,2026-02-12 12:59:22
229,375,5,Perfect! Exceeded expectations.,0.68,2024-05-22,2026-02-12 12:59:22
230,377,3,It's okay. Average product.,0.04,2024-12-02,2026-02-12 12:59:22
231,377,4,Very satisfied with my purchase.,0.69,2023-07-15,2026-02-12 12:59:22
232,381,5,Excellent quality and fast shipping.,0.64,2023-11-13,2026-02-12 12:59:22
233,381,5,Amazing! Will buy again.,0.91,2023-02-11,2026-02-12 12:59:22
234,381,4,Perfect! Exceeded expectations.,0.62,2024-07-31,2026-02-12 12:59:22
235,383,5,Amazing! Will buy again.,0.67,2024-10-14,2026-02-12 12:59:22
236,390,4,Great product! Highly recommend.,0.78,2024-08-21,2026-02-12 12:59:22
237,405,4,Great product! Highly recommend.,0.65,2024-06-14,2026-02-12 12:59:22
238,405,5,Great product! Highly recommend.,0.72,2024-11-22,2026-02-12 12:59:22
239,406,2,Poor quality. Would not recommend.,-0.31,2023-05-09,2026-02-12 12:59:22
240,406,4,Perfect! Exceeded expectations.,0.85,2023-06-08,2026-02-12 12:59:22
241,406,2,Poor quality. Would not recommend.,-0.56,2024-03-17,2026-02-12 12:59:22
242,409,4,Excellent quality and fast shipping.,0.79,2022-09-10,2026-02-12 12:59:22
243,409,2,Took too long to arrive.,-0.98,2024-05-28,2026-02-12 12:59:22
244,409,4,Perfect! Exceeded expectations.,0.92,2022-05-25,2026-02-12 12:59:22
245,410,4,Excellent quality and fast shipping.,0.58,2023-10-29,2026-02-12 12:59:22
246,410,5,Excellent quality and fast shipping.,0.72,2024-07-05,2026-02-12 12:59:22
247,412,2,Took too long to arrive.,-0.6,2024-06-09,2026-02-12 12:59:22
248,412,3,It's okay. Average product.,0.16,2024-08-24,2026-02-12 12:59:22
249,412,5,Amazing! Will buy again.,0.53,2024-02-16,2026-02-12 12:59:22
250,414,4,Very satisfied with my purchase.,0.78,2024-05-18,2026-02-12 12:59:22
251,423,5,Very satisfied with my purchase.,0.55,2024-04-08,2026-02-12 12:59:22
252,425,4,Very satisfied with my purchase.,0.67,2023-11-16,2026-02-12 12:59:22
253,425,2,Poor quality. Would not recommend.,-0.82,2024-01-04,2026-02-12 12:59:22
254,427,5,Very satisfied with my purchase.,0.73,2024-05-18,2026-02-12 12:59:22
255,427,5,Great product! Highly recommend.,0.71,2024-06-11,2026-02-12 12:59:22
256,427,3,It's okay. Average product.,0.08,2024-03-10,2026-02-12 12:59:22
257,430,4,Excellent quality and fast shipping.,0.77,2024-03-21,2026-02-12 12:59:22
258,430,4,Very satisfied with my purchase.,0.6,2023-11-29,2026-02-12 12:59:22
259,432,4,Great product! Highly recommend.,0.81,2024-08-25,2026-02-12 12:59:22
260,432,3,It's okay. Average product.,0.16,2024-09-06,2026-02-12 12:59:22
261,435,4,Perfect! Exceeded expectations.,0.94,2023-04-28,2026-02-12 12:59:22
262,438,5,Very satisfied with my purchase.,0.9,2024-07-05,2026-02-12 12:59:22
263,438,4,Excellent quality and fast shipping.,0.82,2023-10-16,2026-02-12 12:59:22
264,442,4,Great product! Highly recommend.,0.61,2024-10-12,2026-02-12 12:59:22
265,442,4,Amazing! Will buy again.,0.65,2022-06-28,2026-02-12 12:59:22
266,442,3,It's okay. Average product.,-0.15,2024-01-05,2026-02-12 12:59:22
267,445,5,Great product! Highly recommend.,0.68,2024-04-12,2026-02-12 12:59:22
268,445,4,Excellent quality and fast shipping.,0.93,2024-11-05,2026-02-12 12:59:22
269,445,5,Very satisfied with my purchase.,0.59,2024-07-17,2026-02-12 12:59:22
270,446,3,It's okay. Average product.,0.11,2024-06-03,2026-02-12 12:59:22
271,447,1,Had to return it.,-0.82,2022-12-06,2026-02-12 12:59:22
272,447,4,Excellent quality and fast shipping.,0.73,2024-11-24,2026-02-12 12:59:22
273,452,5,Excellent quality and fast shipping.,0.63,2024-10-23,2026-02-12 12:59:22
274,456,4,Perfect! Exceeded expectations.,0.62,2023-11-05,2026-02-12 12:59:22
275,460,3,It's okay. Average product.,-0.15,2024-08-31,2026-02-12 12:59:22
276,460,1,Took too long to arrive.,-0.38,2024-11-28,2026-02-12 12:59:22
277,460,3,It's okay. Average product.,0.15,2024-07-21,2026-02-12 12:59:22
278,465,5,Amazing! Will buy again.,0.89,2024-02-26,2026-02-12 12:59:22
279,465,3,It's okay. Average product.,-0.14,2024-11-22,2026-02-12 12:59:22
280,467,4,Perfect! Exceeded expectations.,0.75,2024-07-04,2026-02-12 12:59:22
281,468,4,Amazing! Will buy again.,0.93,2024-03-23,2026-02-12 12:59:22
282,468,2,Poor quality. Would not recommend.,-0.84,2024-04-12,2026-02-12 12:59:22
283,468,5,Amazing! Will buy again.,0.58,2024-11-20,2026-02-12 12:59:22
284,469,5,Amazing! Will buy again.,0.68,2024-12-15,2026-02-12 12:59:22
285,469,5,Very satisfied with my purchase.,0.63,2024-11-07,2026-02-12 12:59:22
286,475,1,Had to return it.,-0.95,2024-11-20,2026-02-12 12:59:22
287,475,3,It's okay. Average product.,-0.02,2024-07-16,2026-02-12 12:59:22
288,478,5,Amazing! Will buy again.,0.67,2024-03-10,2026-02-12 12:59:22
289,478,2,Poor quality. Would not recommend.,-0.67,2024-09-09,2026-02-12 12:59:22
290,480,5,Very satisfied with my purchase.,0.87,2024-03-26,2026-02-12 12:59:22
291,481,2,Not worth the price.,-0.59,2024-11-17,2026-02-12 12:59:22
292,489,3,It's okay. Average product.,-0.02,2024-10-12,2026-02-12 12:59:22
293,489,4,Perfect! Exceeded expectations.,0.65,2024-09-29,2026-02-12 12:59:22
294,489,5,Great product! Highly recommend.,1.0,2024-12-13,2026-02-12 12:59:22
295,490,5,Perfect! Exceeded expectations.,0.7,2023-03-22,2026-02-12 12:59:22
296,490,2,Poor quality. Would not recommend.,-1.0,2023-08-04,2026-02-12 12:59:22
297,490,4,Amazing! Will buy again.,0.78,2024-05-05,2026-02-12 12:59:22
298,494,5,Amazing! Will buy again.,0.6,2023-08-17,2026-02-12 12:59:22
299,497,5,Amazing! Will buy again.,0.61,2023-03-25,2026-02-12 12:59:22
300,497,4,Amazing! Will buy again.,0.74,2024-06-14,2026-02-12 12:59:22
301,498,5,Excellent quality and fast shipping.,0.69,2024-06-13,2026-02-12 12:59:22
302,498,1,Took too long to arrive.,-0.64,2023-11-16,2026-02-12 12:59:22
303,498,5,Very satisfied with my purchase.,0.91,2024-12-03,2026-02-12 12:59:22
304,502,5,Great product! Highly recommend.,0.55,2024-12-29,2026-02-12 12:59:22
305,502,4,Very satisfied with my purchase.,0.73,2024-11-24,2026-02-12 12:59:22
306,504,4,Great product! Highly recommend.,0.87,2024-04-25,2026-02-12 12:59:22
307,504,1,Not as described. Disappointed.,-0.72,2024-12-14,2026-02-12 12:59:22
308,504,5,Amazing! Will buy again.,0.68,2024-08-10,2026-02-12 12:59:22
309,505,4,Excellent quality and fast shipping.,0.75,2024-06-21,2026-02-12 12:59:22
310,505,2,Not as described. Disappointed.,-0.58,2023-02-23,2026-02-12 12:59:22
311,505,2,Poor quality. Would not recommend.,-0.95,2024-12-12,2026-02-12 12:59:22
312,509,3,It's okay. Average product.,0.07,2023-12-28,2026-02-12 12:59:22
313,509,4,Perfect! Exceeded expectations.,0.81,2024-08-26,2026-02-12 12:59:22
314,510,3,It's okay. Average product.,0.17,2024-02-21,2026-02-12 12:59:22
315,510,4,Perfect! Exceeded expectations.,0.77,2023-12-07,2026-02-12 12:59:22
316,517,1,Poor quality. Would not recommend.,-0.54,2024-09-02,2026-02-12 12:59:22
317,519,2,Poor quality. Would not recommend.,-0.83,2023-12-02,2026-02-12 12:59:22
318,528,5,Excellent quality and fast shipping.,0.7,2024-12-13,2026-02-12 12:59:22
319,528,4,Perfect! Exceeded expectations.,0.63,2024-07-01,2026-02-12 12:59:22
320,528,5,Amazing! Will buy again.,0.81,2024-12-14,2026-02-12 12:59:22
321,532,4,Excellent quality and fast shipping.,0.77,2023-12-12,2026-02-12 12:59:22
322,532,4,Excellent quality and fast shipping.,0.65,2024-10-11,2026-02-12 12:59:22
323,534,4,Perfect! Exceeded expectations.,0.72,2024-12-03,2026-02-12 12:59:22
324,535,3,It's okay. Average product.,-0.01,2024-12-20,2026-02-12 12:59:22
325,535,5,Great product! Highly recommend.,0.74,2024-12-20,2026-02-12 12:59:22
326,535,1,Took too long to arrive.,-0.44,2024-12-19,2026-02-12 12:59:22
327,538,4,Perfect! Exceeded expectations.,0.66,2023-03-19,2026-02-12 12:59:22
328,539,5,Amazing! Will buy again.,0.74,2024-01-11,2026-02-12 12:59:22
